timestamp_open,timestamp_close,direction,entry_price,exit_price,qty,spend,gross_pnl,entry_fee,exit_fee,net_pnl,exit_reason,reason_code,holding_hours,holding_time_seconds
2024-01-01 12:00:00,2024-01-02 00:00:00,BUY,42711.555105,44243.90594598826,0.05853216989768043,2500.0,89.69181976757852,2.5,2.589691819767579,84.60212794781094,TP,TP,12.0,43200.0
2024-01-04 18:00:00,2024-01-05 01:00:00,BUY,44012.005005,42924.74524590773,0.05728324650741398,2521.150531986953,-62.28176879767386,2.521150531986953,2.458868763189279,-67.26178809285008,SL,SL,7.0,25200.0
2024-01-08 08:00:00,2024-01-08 18:00:00,BUY,43996.537275,46447.79702442696,0.05692118607676814,2504.3350849637404,139.5286123196239,2.5043350849637407,2.643863697283365,134.3804135373768,TP,TP,10.0,36000.0
2024-02-01 18:00:00,2024-02-08 20:00:00,BUY,42945.451994999996,45501.631923280096,0.05909659976668934,2537.930188348085,151.06154215321374,2.537930188348085,2.6889917305012987,145.83462023436437,TP,TP,170.0,612000.0
2024-02-22 09:00:00,2024-02-22 13:00:00,BUY,51914.46425999999,51006.92407037274,0.049589047678764896,2574.3888434066757,-45.00405373382115,2.574388843406676,2.529384789672855,-50.10782736690068,SL,SL,4.0,14400.0
2024-02-22 19:00:00,2024-02-23 08:00:00,BUY,51744.67941,50861.78202472803,0.04950966777213918,2561.8618865649505,-43.711956221705336,2.5618618865649507,2.5181499303432453,-48.79196803861353,SL,SL,13.0,46800.0
2024-02-24 22:00:00,2024-02-26 09:00:00,BUY,51588.10116,51074.72575932054,0.04942348792113009,2549.6638945552972,-25.372802914486375,2.549663894555297,2.524291091640811,-30.446757900682485,SL,SL,35.0,126000.0
2024-03-24 18:00:00,2024-03-25 15:00:00,BUY,65378.66299499999,69835.58948549817,0.03888198517113353,2542.0522050801264,173.29414971238256,2.5420522050801266,2.715346354792509,168.03675115250994,TP,TP,21.0,75600.0
2024-04-05 17:00:00,2024-04-12 18:00:00,BUY,67987.766895,66132.39663852044,0.03800774037569239,2584.0613928682537,-70.51843100905666,2.5840613928682536,2.513542961859197,-75.6160353637841,SL,SL,169.0,608400.0
2024-04-19 11:00:00,2024-04-29 03:00:00,BUY,64810.08884999999,62330.43335010942,0.03957959986699367,2565.1573840273077,-98.14377249365894,2.565157384027308,2.4670136115336487,-103.17594348921989,SL,SL,232.0,835200.0
2024-05-10 02:00:00,2024-05-10 14:00:00,BUY,62914.94175,61697.3434675776,0.040361849308316385,2539.363398155003,-49.144518393197664,2.539363398155003,2.4902188797618057,-54.17410067111447,SL,SL,12.0,43200.0
2024-05-15 09:00:00,2024-05-15 15:00:00,BUY,62174.581755,64761.30080984198,0.04062463794192071,2525.8198729872242,105.08452506042288,2.525819872987224,2.6309043980476474,99.927800789388,TP,TP,6.0,21600.0
2024-05-24 22:00:00,2024-05-28 04:00:00,BUY,68910.427995,67637.91734052774,0.03701619475313159,2550.8018231845713,-47.103502211380324,2.5508018231845715,2.503698320973191,-52.15800235553809,SL,SL,78.0,280800.0
2024-06-03 03:00:00,2024-06-04 16:00:00,BUY,68450.29804499999,70882.49988146902,0.03707452553277903,2537.762322595687,90.17272908704312,2.537762322595687,2.62793505168273,85.00703171276471,TP,TP,37.0,133200.0
2024-06-30 16:00:00,2024-07-01 01:00:00,BUY,61748.758949999996,63534.71905963535,0.0414423564787107,2559.014080523878,74.01439552026545,2.559014080523878,2.633028476044143,68.82235296369743,TP,TP,9.0,32400.0
2024-07-09 19:00:00,2024-07-15 03:00:00,BUY,57936.45374999999,62617.2334134475,0.04446629888466038,2576.2196687648025,208.13694752809695,2.5762196687648027,2.7843566162928997,202.77637124303925,TP,TP,128.0,460800.0
2024-07-24 15:00:00,2024-07-24 19:00:00,BUY,66793.390005,65672.98638310544,0.03932894798989717,2626.913761575562,-44.06429577318336,2.6269137615755622,2.582849465802379,-49.2740590005613,SL,SL,4.0,14400.0
2024-08-17 05:00:00,2024-08-19 09:00:00,BUY,59246.34836999999,58076.37987472364,0.04413090964690322,2614.595246825422,-51.63177395476388,2.614595246825422,2.562963472870658,-56.80933267445996,SL,SL,52.0,187200.0
2024-08-21 07:00:00,2024-08-23 17:00:00,BUY,59657.13366,62735.399107105906,0.04358896839524768,2600.3929136568067,134.17841528608236,2.600392913656807,2.7345713289428892,128.84345104348267,TP,TP,58.0,208800.0
2024-09-03 06:00:00,2024-09-03 13:00:00,BUY,59215.59299999999,58272.31154625741,0.04445794837210661,2632.603776417677,-41.936358170853296,2.6326037764176773,2.5906674182468237,-47.159629365517794,SL,SL,7.0,25200.0
2024-09-17 13:00:00,2024-09-19 00:00:00,BUY,59410.79055,62293.43738454269,0.044113432001390826,2620.8138690762976,127.16344511962352,2.6208138690762977,2.7479773141959214,121.7946539363513,TP,TP,35.0,126000.0
2024-10-05 13:00:00,2024-10-05 20:00:00,BUY,62333.17100999999,61677.631106798275,0.04253373427985957,2651.2625325603854,-27.882560052626644,2.6512625325603856,2.6233799725077587,-33.15720255769479,SL,SL,7.0,25200.0
